MATCH (c:Customer {customerId: "CUST001"}) SET c.name = "Emma Schneider";
MATCH (c:Customer {customerId: "CUST010"}) SET c.name = "Sofia Lindberg";
MATCH (c:Customer {customerId: "CUST011"}) SET c.name = "Isabella Novak";
MATCH (c:Customer {customerId: "CUST013"}) SET c.name = "Clara Mueller";
MATCH (c:Customer {customerId: "CUST014"}) SET c.name = "Elena Petrova";
MATCH (c:Customer {customerId: "CUST017"}) SET c.name = "Nina Horvath";
MATCH (c:Customer {customerId: "CUST020"}) SET c.name = "Freja Nielsen";
MATCH (c:Customer {customerId: "CUST023"}) SET c.name = "Anna Kowalska";
MATCH (c:Customer {customerId: "CUST030"}) SET c.name = "Lucia Romano";
MATCH (c:Customer {customerId: "CUST032"}) SET c.name = "Zoe Laurent";
MATCH (c:Customer {customerId: "CUST040"}) SET c.name = "Maria Almeida";
MATCH (c:Customer {customerId: "CUST044"}) SET c.name = "Viktoria Popescu";
MATCH (c:Customer {customerId: "CUST046"}) SET c.name = "Lea Baumgartner";
MATCH (c:Customer {customerId: "CUST047"}) SET c.name = "Amelia Fischer";
MATCH (c:Customer {customerId: "CUST048"}) SET c.name = "Maja Jansson";
